Member,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
Madagascar,Tariff,Yes,2,Yes,2,Yes,,Yes,,Yes,,Yes,1,Yes,4,Yes,1,Yes,1,Yes,1
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Malawi,Tariff,Yes,5,Yes,5,Yes,3,Yes,3,Yes,7,Yes,7,Yes,5,Yes,6,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes*,,n.a.,,n.a.,
Malaysia,Tariff,Yes,1,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes*,
,Imports,Yes,,Yes,,Yes*,,Yes*,,Yes,,Yes,,Yes,,Yes,,Yes*,,n.a.,
Maldives,Tariff,Yes,,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Mali,Tariff,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,n.a.,,n.a.,
Mauritania,Tariff,Yes,,Yes,,,,,,Yes,,Yes,,,,Yes,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,Yes*,,n.a.,,n.a.,
Mauritius,Tariff,Yes,5,Yes,5,Yes,5,Yes,7,Yes,8,Yes,7,Yes,7,Yes,7,Yes,7,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,n.a.,
Mexico,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,
"Moldova, Republic of",Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Mongolia,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,1
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,
